# CPDE-S4.0 RATIFICATION CENSUS (observe-only; the real check_ratification path)
# state: certified POST-1340 preview ledger state, point slot 115776011
# boundary: 1340 -> 1341 (ratification evaluated as of ending_epoch 1340)
# authority: committee 8 members / quorum 2/3 (IMPORTED); drep_thresholds=[] pool_thresholds=[] drep_stake=[] (NOT imported)
# fields: gov_action_id | kind | proposed_in | expires_after | expiring | committee_active/size | committee_yes | drep_inputs | spo_inputs | observation
e470fa811bbb3d5a8509a58da9b234f6814720416952d2e71d3e2f6e3f3d4053#10 | TreasuryWithdrawals | 1336 | 1366 | N | 3/8 | 0 | N | N | PresentGateFailed
e7a21fe9d6102f99db78b31b6c58fae65f558b3b15bb4dc802bdbf7f2bd86aee#0 | TreasuryWithdrawals | 1337 | 1367 | N | 3/8 | 0 | N | N | PresentGateFailed
e878cc2333372d2cb37d186e602473dd71dba69408bcfcc5527a8cb8831aa912#0 | TreasuryWithdrawals | 1309 | 1339 | Y | 3/8 | 0 | N | N | PresentGateFailed
eab4f455b8e4b8cc3258eabc57f99d2bcfe6b5a28fa3220324396b800660c45c#0 | TreasuryWithdrawals | 1309 | 1339 | Y | 3/8 | 0 | N | N | PresentGateFailed
ee3f1e7ae46614adab0531a35304a191fedbdfef96c7a8df25f734b8aa7ae7e3#0 | TreasuryWithdrawals | 1337 | 1367 | N | 3/8 | 0 | N | N | PresentGateFailed
ee3f1e7ae46614adab0531a35304a191fedbdfef96c7a8df25f734b8aa7ae7e3#1 | TreasuryWithdrawals | 1337 | 1367 | N | 3/8 | 0 | N | N | PresentGateFailed
ee3f1e7ae46614adab0531a35304a191fedbdfef96c7a8df25f734b8aa7ae7e3#2 | TreasuryWithdrawals | 1337 | 1367 | N | 3/8 | 0 | N | N | PresentGateFailed
ee3f1e7ae46614adab0531a35304a191fedbdfef96c7a8df25f734b8aa7ae7e3#3 | TreasuryWithdrawals | 1337 | 1367 | N | 3/8 | 0 | N | N | PresentGateFailed
ee3f1e7ae46614adab0531a35304a191fedbdfef96c7a8df25f734b8aa7ae7e3#4 | TreasuryWithdrawals | 1337 | 1367 | N | 3/8 | 0 | N | N | PresentGateFailed
ee3f1e7ae46614adab0531a35304a191fedbdfef96c7a8df25f734b8aa7ae7e3#5 | TreasuryWithdrawals | 1337 | 1367 | N | 3/8 | 0 | N | N | PresentGateFailed
ee3f1e7ae46614adab0531a35304a191fedbdfef96c7a8df25f734b8aa7ae7e3#6 | TreasuryWithdrawals | 1337 | 1367 | N | 3/8 | 0 | N | N | PresentGateFailed
ee3f1e7ae46614adab0531a35304a191fedbdfef96c7a8df25f734b8aa7ae7e3#7 | TreasuryWithdrawals | 1337 | 1367 | N | 3/8 | 0 | N | N | PresentGateFailed
ee3f1e7ae46614adab0531a35304a191fedbdfef96c7a8df25f734b8aa7ae7e3#8 | TreasuryWithdrawals | 1337 | 1367 | N | 3/8 | 0 | N | N | PresentGateFailed
ee3f1e7ae46614adab0531a35304a191fedbdfef96c7a8df25f734b8aa7ae7e3#9 | TreasuryWithdrawals | 1337 | 1367 | N | 3/8 | 0 | N | N | PresentGateFailed
# summary: PresentGateFailed=46 InfoActionNeverEnacts=4 PotentiallyRatifiable=0 Malformed=0 | expiring_refunds=5
# verdict: CENSUS CLEAN — the committee-only authority resolves every tracked proposal; narrow S4 admissible
